measure_id	measure_name	location_id	location_name	sex_id	sex_name	age_id	age_name	cause_id	cause_name	metric_id	metric_name	year	val	upper	lower
1	Deaths	1	Global	3	Both	22	All ages	423	Larynx cancer	1	Number	2019	123355.5899	132798.4327	114941.3974
1	Deaths	1	Global	3	Both	22	All ages	423	Larynx cancer	2	Percent	2019	0.002182290625	0.002306755368	0.002069807904
1	Deaths	1	Global	3	Both	22	All ages	423	Larynx cancer	3	Rate	2019	1.594263701	1.716304231	1.485517583
1	Deaths	1	Global	3	Both	22	All ages	426	Tracheal, bronchus, and lung cancer	1	Number	2019	2042639.736	2193268.973	1879241.24
1	Deaths	1	Global	3	Both	22	All ages	426	Tracheal, bronchus, and lung cancer	2	Percent	2019	0.03613773654	0.03834579462	0.03359484172
1	Deaths	1	Global	3	Both	22	All ages	426	Tracheal, bronchus, and lung cancer	3	Rate	2019	26.39934185	28.34609371	24.28755841
1	Deaths	1	Global	3	Both	22	All ages	429	Breast cancer	1	Number	2019	700659.9334	751555.0798	647383.8082
1	Deaths	1	Global	3	Both	22	All ages	429	Breast cancer	2	Percent	2019	0.01239659538	0.01315633769	0.01150837114
1	Deaths	1	Global	3	Both	22	All ages	429	Breast cancer	3	Rate	2019	9.055420187	9.713195684	8.36687261
1	Deaths	1	Global	3	Both	22	All ages	432	Cervical cancer	1	Number	2019	280479.0352	313929.7023	238863.9636
1	Deaths	1	Global	3	Both	22	All ages	432	Cervical cancer	2	Percent	2019	0.004961731472	0.005486357422	0.00424202147
1	Deaths	1	Global	3	Both	22	All ages	432	Cervical cancer	3	Rate	2019	3.624947562	4.057268338	3.087108959
1	Deaths	1	Global	3	Both	22	All ages	435	Uterine cancer	1	Number	2019	91640.71205	101502.0711	82389.19913
1	Deaths	1	Global	3	Both	22	All ages	435	Uterine cancer	2	Percent	2019	0.001621526877	0.001788044811	0.001475392082
1	Deaths	1	Global	3	Both	22	All ages	435	Uterine cancer	3	Rate	2019	1.184376492	1.31182598	1.064808735
1	Deaths	1	Global	3	Both	22	All ages	438	Prostate cancer	1	Number	2019	486836.0667	593688.8455	420498.0541
1	Deaths	1	Global	3	Both	22	All ages	438	Prostate cancer	2	Percent	2019	0.00861350331	0.01056896447	0.007425982928
1	Deaths	1	Global	3	Both	22	All ages	438	Prostate cancer	3	Rate	2019	6.291932699	7.672911922	5.434571589
1	Deaths	1	Global	3	Both	22	All ages	441	Colon and rectum cancer	1	Number	2019	1085797.499	1149678.541	1002795.411
1	Deaths	1	Global	3	Both	22	All ages	441	Colon and rectum cancer	2	Percent	2019	0.01921107204	0.02018138978	0.01782270221
1	Deaths	1	Global	3	Both	22	All ages	441	Colon and rectum cancer	3	Rate	2019	14.03298822	14.85859512	12.96025843
1	Deaths	1	Global	3	Both	22	All ages	444	Lip and oral cavity cancer	1	Number	2019	199397.5522	218058.5577	181651.484
1	Deaths	1	Global	3	Both	22	All ages	444	Lip and oral cavity cancer	2	Percent	2019	0.00352761474	0.003801413522	0.003263097305
1	Deaths	1	Global	3	Both	22	All ages	444	Lip and oral cavity cancer	3	Rate	2019	2.577039921	2.818217186	2.347687426
1	Deaths	1	Global	3	Both	22	All ages	447	Nasopharynx cancer	1	Number	2019	71610.48889	77624.61582	65442.01106
1	Deaths	1	Global	3	Both	22	All ages	447	Nasopharynx cancer	2	Percent	2019	0.001266585251	0.001348337957	0.001192231413
1	Deaths	1	Global	3	Both	22	All ages	447	Nasopharynx cancer	3	Rate	2019	0.9255032802	1.00323064	0.8457810698
1	Deaths	1	Global	3	Both	22	All ages	450	Other pharynx cancer	1	Number	2019	114206.7192	126039.3705	103153.6173
1	Deaths	1	Global	3	Both	22	All ages	450	Other pharynx cancer	2	Percent	2019	0.002020351556	0.002195164772	0.001851992778
1	Deaths	1	Global	3	Both	22	All ages	450	Other pharynx cancer	3	Rate	2019	1.476022505	1.628949232	1.333170777
1	Deaths	1	Global	3	Both	22	All ages	294	All causes	1	Number	2019	56526959.51	59205883	53742682.45
1	Deaths	1	Global	3	Both	22	All ages	294	All causes	2	Percent	2019	1	1	1
